"district","rating","updated"
"AL-01","SOLID",""
"AL-02","SOLID",""
"AL-03","SOLID",""
"AL-04","SOLID",""
"AL-05","SOLID",""
"AL-06","SOLID",""
"AL-07","SOLID",""
"AL-08","SOLID",""
"AL-09","SOLID",""
"AL-10","SOLID",""
"AK-00","LEAN-R","2020-07-31"
"AZ-01","LEAN-D","2020-07-02"
"AZ-02","SOLID-D","2020-07-17"
"AZ-03","SOLID",""
"AZ-04","SOLID",""
"AZ-05","SOLID",""
"AZ-06","TOSS-UP","2020-08-07"
"AZ-07","SOLID",""
"AZ-08","SOLID",""
"AZ-09","SOLID",""
"AR-01","SOLID",""
"AR-02","LEAN-R","2020-09-29"
"CA-01","SOLID",""
"CA-02","SOLID",""
"CA-03","SOLID",""
"CA-04","LIKELY-R","2020-07-17"
"CA-05","SOLID",""
"CA-06","SOLID",""
"CA-07","SOLID",""
"CA-08","SOLID",""
"CA-09","SOLID",""
"CA-10","LIKELY-D","2020-07-02"
"CA-11","SOLID",""
"CA-12","SOLID",""
"CA-13","SOLID",""
"CA-14","SOLID",""
"CA-15","SOLID",""
"CA-16","SOLID",""
"CA-17","SOLID",""
"CA-18","SOLID",""
"CA-19","SOLID",""
"CA-20","SOLID",""
"CA-21","TOSS-UP","2020-07-02"
"CA-22","LIKELY-R","2020-07-02"
"CA-23","SOLID",""
"CA-24","SOLID",""
"CA-25","TOSS-UP","2020-07-02"
"CA-26","SOLID",""
"CA-27","SOLID",""
"CA-28","SOLID",""
"CA-29","SOLID",""
"CA-30","SOLID",""
"CA-31","SOLID",""
"CA-32","SOLID",""
"CA-33","SOLID",""
"CA-34","SOLID",""
"CA-35","SOLID",""
"CA-36","SOLID",""
"CA-37","SOLID",""
"CA-38","SOLID",""
"CA-39","LIKELY-D","2020-07-17"
"CA-40","SOLID",""
"CA-41","SOLID",""
"CA-42","SOLID",""
"CA-43","SOLID",""
"CA-44","SOLID",""
"CA-45","SOLID-D","2020-08-14"
"CA-46","SOLID",""
"CA-47","SOLID",""
"CA-48","LEAN-D","2020-07-02"
"CA-49","SOLID",""
"CA-50","LEAN-R","2020-10-21"
"CA-51","SOLID",""
"CA-52","SOLID",""
"CA-53","SOLID",""
"CO-01","SOLID",""
"CO-02","SOLID",""
"CO-03","LEAN-R","2020-09-18"
"CO-04","SOLID",""
"CO-05","SOLID",""
"CO-06","SOLID-D","2020-07-17"
"CO-07","SOLID",""
"CT-01","SOLID",""
"CT-02","SOLID",""
"CT-03","SOLID",""
"CT-04","SOLID",""
"CT-05","SOLID",""
"CT-06","SOLID",""
"DE-00","SOLID",""
"FL-01","SOLID",""
"FL-01","SOLID",""
"FL-03","SOLID",""
"FL-04","SOLID",""
"FL-05","SOLID",""
"FL-06","SOLID",""
"FL-07","SOLID",""
"FL-08","SOLID",""
"FL-09","SOLID",""
"FL-10","SOLID",""
"FL-11","SOLID",""
"FL-12","SOLID",""
"FL-13","SOLID",""
"FL-14","SOLID",""
"FL-15","LEAN-R","2020-07-02"
"FL-16","LIKELY-R","2020-07-02"
"FL-17","SOLID",""
"FL-18","SOLID",""
"FL-19","SOLID",""
"FL-20","SOLID",""
"FL-21","SOLID",""
"FL-22","SOLID",""
"FL-23","SOLID",""
"FL-24","SOLID",""
"FL-25","SOLID",""
"FL-26","LEAN-D","2020-10-21"
"FL-27","LIKELY-D","2020-07-02"
"GA-01","SOLID",""
"GA-02","SOLID",""
"GA-03","SOLID",""
"GA-04","SOLID",""
"GA-05","SOLID",""
"GA-06","LIKELY-D","2020-10-21"
"GA-07","LEAN-D","2020-08-14"
"GA-08","SOLID",""
"GA-09","SOLID",""
"GA-10","SOLID",""
"GA-11","SOLID",""
"GA-12","SOLID",""
"GA-13","SOLID",""
"GA-14","SOLID",""
"HI-01","SOLID",""
"HI-02","SOLID",""
"ID-01","SOLID",""
"ID-02","SOLID",""
"IA-01","TOSS-UP","2020-07-02"
"IA-02","TOSS-UP","2020-07-02"
"IA-03","LEAN-D","2020-10-08"
"IA-04","SOLID",""
"IL-01","SOLID",""
"IL-02","SOLID",""
"IL-03","SOLID",""
"IL-04","SOLID",""
"IL-05","SOLID",""
"IL-06","SOLID-D","2020-08-14"
"IL-07","SOLID",""
"IL-08","SOLID",""
"IL-09","SOLID",""
"IL-10","SOLID",""
"IL-11","SOLID",""
"IL-12","SOLID",""
"IL-13","TOSS-UP","2020-10-21"
"IL-14","LIKELY-D","2020-08-14"
"IL-15","SOLID",""
"IL-16","SOLID",""
"IL-17","LEAN-D","2020-10-21"
"IN-01","SOLID",""
"IN-02","SOLID",""
"IN-03","SOLID",""
"IN-04","SOLID",""
"IN-05","TOSS-UP","2020-07-02"
"IN-06","SOLID",""
"IN-07","SOLID",""
"IN-08","SOLID",""
"IN-09","SOLID",""
"KS-01","SOLID",""
"KS-02","LIKELY-R","2020-08-07"
"KS-03","SOLID-D","2020-10-21"
"KS-04","SOLID",""
"KY-01","SOLID",""
"KY-02","SOLID",""
"KY-03","SOLID",""
"KY-04","SOLID",""
"KY-05","SOLID",""
"KY-06","LIKELY-R","2020-07-02"
"LA-01","SOLID",""
"LA-02","SOLID",""
"LA-03","SOLID",""
"LA-04","SOLID",""
"LA-05","SOLID",""
"LA-06","SOLID",""
"MA-01","SOLID",""
"MA-02","SOLID",""
"MA-03","SOLID",""
"MA-04","SOLID",""
"MA-05","SOLID",""
"MA-06","SOLID",""
"MA-07","SOLID",""
"MA-08","SOLID",""
"MA-09","SOLID",""
"MD-01","SOLID",""
"MD-02","SOLID",""
"MD-03","SOLID",""
"MD-04","SOLID",""
"MD-05","SOLID",""
"ME-01","SOLID",""
"ME-02","LIKELY-D","2020-09-29"
"MI-01","SOLID",""
"MI-02","SOLID",""
"MI-03","TOSS-UP","2020-10-21"
"MI-04","SOLID",""
"MI-05","SOLID",""
"MI-06","LEAN-R","2020-08-07"
"MI-07","SOLID",""
"MI-08","LEAN-D","2020-07-02"
"MI-09","SOLID",""
"MI-10","SOLID",""
"MI-11","LEAN-D","2020-07-02"
"MI-12","SOLID",""
"MI-13","SOLID",""
"MI-14","SOLID",""
"MN-01","TOSS-UP","2020-10-21"
"MN-02","LIKELY-D","2020-10-21"
"MN-03","SOLID-D","2020-07-17"
"MN-04","SOLID",""
"MN-05","SOLID",""
"MN-06","SOLID",""
"MN-07","TOSS-UP","2020-07-02"
"MN-08","SOLID-R","2020-08-14"
"MO-01","SOLID",""
"MO-02","TOSS-UP","2020-08-07"
"MO-03","SOLID",""
"MO-04","SOLID",""
"MO-05","SOLID",""
"MO-06","SOLID",""
"MO-07","SOLID",""
"MO-08","SOLID",""
"MS-01","SOLID",""
"MS-02","SOLID",""
"MS-03","SOLID",""
"MS-04","SOLID",""
"MT-00","LEAN-R","2020-07-02"
"NE-01","SOLID",""
"NE-02","SOLID",""
"NE-03","SOLID",""
"NC-01","SOLID",""
"NC-02","LIKELY-D","2020-07-02"
"NC-03","SOLID",""
"NC-04","SOLID",""
"NC-05","SOLID",""
"NC-06","LIKELY-D","2020-07-02"
"NC-07","SOLID",""
"NC-08","LEAN-R","2020-07-17"
"NC-09","LEAN-R","2020-10-21"
"NC-10","SOLID",""
"NC-11","LEAN-R","2020-10-08"
"NC-12","SOLID",""
"NC-13","SOLID",""
"ND-00","SOLID",""
"NE-01","SOLID",""
"NE-02","TOSS-UP","2020-07-17"
"NE-03","SOLID",""
"NH-01","LIKELY-D","2020-08-14"
"NH-02","SOLID",""
"NJ-01","SOLID",""
"NJ-02","TOSS-UP","2020-08-14"
"NJ-03","LEAN-D","2020-09-29"
"NJ-04","SOLID",""
"NJ-05","LIKELY-D","2020-07-02"
"NJ-06","SOLID",""
"NJ-07","LEAN-D","2020-07-02"
"NJ-08","SOLID",""
"NJ-09","SOLID",""
"NJ-10","SOLID",""
"NJ-11","SOLID-D","2020-08-14"
"NJ-12","SOLID",""
"NM-01","SOLID",""
"NM-02","TOSS-UP","2020-07-02"
"NM-03","SOLID",""
"NV-01","SOLID",""
"NV-02","SOLID",""
"NV-03","LEAN-D","2020-07-02"
"NV-04","LIKELY-D","2020-07-02"
"NY-01","LEAN-R","2020-08-14"
"NY-02","TOSS-UP","2020-07-31"
"NY-03","SOLID",""
"NY-04","SOLID",""
"NY-05","SOLID",""
"NY-06","SOLID",""
"NY-07","SOLID",""
"NY-8","SOLID",""
"NY-09","SOLID",""
"NY-10","SOLID",""
"NY-11","TOSS-UP","2020-07-02"
"NY-12","SOLID",""
"NY-13","SOLID",""
"NY-14","SOLID",""
"NY-15","SOLID",""
"NY-16","SOLID",""
"NY-17","SOLID",""
"NY-18","LIKELY-D","2020-07-02"
"NY-19","LIKELY-D","2020-09-29"
"NY-20","SOLID",""
"NY-21","SOLID",""
"NY-22","TOSS-UP","2020-07-02"
"NY-23","SOLID",""
"NY-24","TOSS-UP","2020-10-08"
"NY-25","SOLID",""
"NY-26","SOLID",""
"NY-27","SOLID",""
"OH-01","TOSS-UP","2020-07-17"
"OH-02","SOLID",""
"OH-03","SOLID",""
"OH-04","SOLID",""
"OH-05","SOLID",""
"OH-06","SOLID",""
"OH-07","SOLID",""
"OH-08","SOLID",""
"OH-09","SOLID",""
"OH-10","LIKELY-R","2020-07-31"
"OH-11","SOLID",""
"OH-12","LIKELY-R","2020-07-17"
"OH-13","SOLID",""
"OH-14","SOLID",""
"OH-15","SOLID",""
"OH-16","SOLID",""
"OK-01","SOLID",""
"OK-02","SOLID",""
"OK-03","SOLID",""
"OK-04","SOLID",""
"OK-05","TOSS-UP","2020-07-02"
"OR-01","SOLID",""
"OR-02","SOLID",""
"OR-03","SOLID",""
"OR-04","LEAN-D","2020-10-02"
"OR-05","SOLID",""
"PA-01","LEAN-R","2020-07-02"
"PA-02","SOLID",""
"PA-03","SOLID",""
"PA-04","SOLID",""
"PA-05","SOLID",""
"PA-06","SOLID",""
"PA-07","LIKELY-D","2020-10-08"
"PA-08","LEAN-D","2020-07-17"
"PA-09","SOLID",""
"PA-10","TOSS-UP","2020-07-02"
"PA-11","SOLID",""
"PA-12","SOLID",""
"PA-13","SOLID",""
"PA-14","SOLID",""
"PA-15","SOLID",""
"PA-16","LIKELY-R","2020-10-08"
"PA-17","LEAN-D","2020-09-29"
"PA-18","SOLID",""
"RI-01","SOLID",""
"RI-02","SOLID",""
"SC-01","LEAN-D","2020-09-29"
"SC-02","SOLID",""
"SC-03","SOLID",""
"SC-04","SOLID",""
"SC-05","SOLID",""
"SC-06","SOLID",""
"SC-07","SOLID",""
"SD-00","SOLID",""
"TN-01","SOLID",""
"TN-02","SOLID",""
"TN-03","SOLID",""
"TN-04","SOLID",""
"TN-05","SOLID",""
"TN-06","SOLID",""
"TN-07","SOLID",""
"TN-08","SOLID",""
"TN-09","SOLID",""
"TX-01","SOLID",""
"TX-02","LIKELY-R","2020-07-02"
"TX-03","LEAN-R","2020-08-14"
"TX-04","SOLID",""
"TX-5","SOLID",""
"TX-06","LIKELY-R","2020-07-17"
"TX-07","LIKELY-D","2020-10-08"
"TX-08","SOLID",""
"TX-09","SOLID",""
"TX-10","LEAN-R","2020-07-02"
"TX-11","SOLID",""
"TX-12","SOLID",""
"TX-13","SOLID",""
"TX-14","SOLID",""
"TX-15","SOLID",""
"TX-16","SOLID",""
"TX-17","SOLID",""
"TX-18","SOLID",""
"TX-19","SOLID",""
"TX-20","SOLID",""
"TX-21","TOSS-UP","2020-07-17"
"TX-22","TOSS-UP","2020-07-02"
"TX-23","LEAN-D","2020-07-02"
"TX-24","TOSS-UP","2020-07-02"
"TX-25","LIKELY-R","2020-07-17"
"TX-26","SOLID",""
"TX-27","SOLID",""
"TX-28","SOLID",""
"TX-29","SOLID",""
"TX-30","SOLID",""
"TX-31","LIKELY-R","2020-07-02"
"TX-32","LIKELY-D","2020-08-14"
"TX-33","SOLID",""
"TX-34","SOLID",""
"TX-35","SOLID",""
"TX-36","SOLID",""
"UT-01","SOLID",""
"UT-02","SOLID",""
"UT-03","SOLID",""
"UT-04","TOSS-UP","2020-08-14"
"VA-01","SOLID",""
"VA-02","LEAN-D","2020-10-21"
"VA-03","SOLID",""
"VA-04","SOLID",""
"VA-05","TOSS-UP","2020-09-18"
"VA-06","SOLID",""
"VA-07","LEAN-D","2020-10-08"
"VA-08","SOLID",""
"VA-09","SOLID",""
"VA-10","SOLID-D","2020-07-17"
"VA-11","SOLID",""
"VT-00","SOLID",""
"WA-01","SOLID",""
"WA-02","SOLID",""
"WA-03","LEAN-R","2020-10-21"
"WA-04","SOLID",""
"WA-05","SOLID",""
"WA-06","SOLID",""
"WA-07","SOLID",""
"WA-08","LIKELY-D","2020-07-02"
"WA-09","SOLID",""
"WA-10","SOLID",""
"WI-01","SOLID",""
"WI-02","SOLID",""
"WI-03","LEAN-D","2020-09-29"
"WI-04","SOLID",""
"WI-05","SOLID",""
"WI-06","SOLID",""
"WI-07","SOLID",""
"WI-08","SOLID",""
"WV-01","SOLID",""
"WV-02","SOLID",""
"WV-03","SOLID",""
"WY-00","SOLID",""