"state","rating","updated"
"AK","LIKELY-R","2020-06-18"
"AL","LEAN-R","2020-06-18"
"AR","SOLID-R","2020-06-18"
"AZ","LEAN-D","2020-07-23"
"CO","TOSS-UP","2020-06-18"
"DE","SOLID-D","2020-06-18"
"GA-SP","LEAN-R","2020-06-18"
"GA","TOSS-UP","2020-07-23"
"IA","TOSS-UP","2020-07-23"
"ID","SOLID-R","2020-06-18"
"IL","SOLID-D","2020-06-18"
"KS","LEAN-R","2020-06-18"
"KY","LIKELY-R","2020-06-18"
"LA","SOLID-R","2020-06-18"
"MA","SOLID-D","2020-06-18"
"ME","TOSS-UP","2020-06-18"
"MI","LEAN-D","2020-06-18"
"MN","SOLID-D","2020-07-23"
"MS","SOLID-R","2020-06-18"
"MT","TOSS-UP","2020-06-18"
"NC","TOSS-UP","2020-06-18"
"NE","SOLID-R","2020-06-18"
"NH","SOLID-D","2020-06-18"
"NJ","SOLID-D","2020-06-18"
"NM","SOLID-D","2020-07-23"
"OK","SOLID-R","2020-06-18"
"OR","SOLID-D","2020-06-18"
"RI","SOLID-D","2020-06-18"
"SC","LEAN-R","2020-08-17"
"SD","SOLID-R","2020-06-18"
"TN","SOLID-R","2020-06-18"
"TX","LIKELY-R","2020-06-18"
"VA","SOLID-D","2020-06-18"
"WV","SOLID-R","2020-06-18"
"WY","SOLID-R","2020-06-18"